,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.0009113800476039289,0.0006793455173679213,0.001796329440453078,0.000999557398237249
1,4,0.0006716563277951884,0.0004659291969117276,0.0013230450453556373,0.0007058193853581992
2,8,0.0005967540953962452,0.0004083539941921972,0.0012899399973917266,0.0006737976477091015
3,12,0.00068430166628233,0.0005081582243316728,0.0014455348698758565,0.0007947536521181718
4,16,0.0008058776265573383,0.0005954167831336177,0.0016241823156405578,0.000912813710628003
5,20,0.0008118837604340701,0.0005981716460929479,0.0016969023885895578,0.000935502273232039
6,24,0.0008987800870091762,0.0006371139083346883,0.0018535683659682068,0.0010076194107192218
7,28,0.0008943146270745364,0.0006797270792698421,0.00186233760064879,0.0010398514671323647
8,32,0.0010030139099862765,0.0007642769048581727,0.0019181134772130349,0.0011016782916812248
9,36,0.001005300611817509,0.0007366643642770241,0.001920949642724479,0.0010790365456788823
10,40,0.0009843138145225214,0.0007125962212412957,0.0018479783064816835,0.0010433684663139155
11,44,0.0009450835656626866,0.0007152511148553881,0.0019252849154782566,0.0010934744291176083
12,48,0.001018360302271211,0.0007559737375033966,0.0020707591856314895,0.0011492490425175754
13,Final,0.000946936976693141,0.0006888762943081382,0.002029173251091035,0.0011057598487555604
