,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.05341287564144945,0.04577649850699057,0.0864566969575806,0.057751389456048345
1,4,0.07246524278263639,0.0617510009307817,0.1144070353720517,0.07701050190646253
2,8,0.07696329842901657,0.06565418975101306,0.12229004304494501,0.08205553293970984
3,12,0.07785812684545955,0.06609279936764308,0.1229389518052559,0.0823830066322745
4,16,0.0780551672811157,0.06612783646020551,0.12294687609596187,0.0823696848227344
5,20,0.07747622773701814,0.06569605308041176,0.12234891040087958,0.08196412663918658
6,24,0.0772442420910599,0.06558421982040419,0.12213312422322907,0.08184722899901828
7,28,0.07649738612500898,0.06509093014557937,0.12133628910566875,0.08135532947756847
8,32,0.07499961153113381,0.06389753479638324,0.11853288894516192,0.0796337572233547
9,36,0.06625007207226896,0.056953059478678354,0.10397149276505716,0.07045262473270911
10,40,0.04667734486357096,0.039053641397477704,0.07406068927073986,0.04897079187925358
11,44,0.045564786983748246,0.03818105290952494,0.07192975822131868,0.0476517055781589
12,48,0.037221550699658136,0.030363998912948283,0.0592747950645022,0.03835080432574071
13,Final,0.03444653882415599,0.02778741802505202,0.05503697437423298,0.03527608897313446
