,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.0917722454186321,0.07860927281079254,0.14795900147937094,0.09907182506589034
1,4,0.10243282663373038,0.08813891345161133,0.16180057641212386,0.10979178746099831
2,8,0.10329071702255674,0.08900070684107,0.1642785832298388,0.11132899616960118
3,12,0.10358551613695,0.08946326313890389,0.1645275452343571,0.11168408379067345
4,16,0.10351173768354328,0.08914464458920796,0.16434707038071666,0.11133547398947109
5,20,0.10268030813976431,0.088821862746079,0.16428045415153364,0.11124617583080962
6,24,0.10198933995308664,0.08825322480899479,0.16343346868980607,0.11063894762275
7,28,0.10113496319697889,0.08750402787550286,0.1620458729294862,0.10964469665178886
8,32,0.10128029135941438,0.08744033190635928,0.16182807197837598,0.10950735520272822
9,36,0.10055234900383708,0.08686698011075097,0.16051283654040405,0.10873955231308331
10,40,0.09948214329295435,0.08608806360750225,0.15915837983925962,0.10780948726970706
11,44,0.09886861729139228,0.08550056883422515,0.15853450579308961,0.10727121277691626
12,48,0.09873950780858519,0.08527455406101535,0.15684476672575826,0.1064809851482114
13,52,0.09796937814880634,0.08452752075466205,0.1562219171843315,0.10576323976908938
14,56,0.0980312227556755,0.08461889207026667,0.15639728015747514,0.10590581537254169
15,60,0.09684891496602085,0.08364046712483654,0.15505861766774862,0.10487259133428325
16,64,0.09665954560486162,0.0835509635313059,0.1551288054049473,0.10486353042318418
17,68,0.09719014404262438,0.08369071513676825,0.15475383545353066,0.10474891016417663
18,72,0.09657689117876374,0.0833187978079179,0.15421270017784533,0.10433198943553255
19,76,0.09597123605521135,0.08287358761350422,0.15458713414000722,0.10424868364785848
20,80,0.09605831581761165,0.08277632068259272,0.1540243482494098,0.10391178276364713
21,84,0.09537703953332659,0.0821775273980542,0.1536581874828883,0.10338837840691373
22,88,0.09569639571695754,0.0824826348988535,0.15300716621358182,0.1033855933125823
23,92,0.0956304434827905,0.08220416828678392,0.15305968398148134,0.10314845864791057
24,96,0.09554100185501126,0.08214529865219154,0.15308348521220222,0.10313398432732927
25,Final,0.09540656046086973,0.08208684038847265,0.15261032564626914,0.10291215413148626
