,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.08495191305156403,0.07322204424180792,0.13663710684544525,0.09218435597608385
1,4,0.0958341376335875,0.08280218170665446,0.1526595602798387,0.10353521044332037
2,8,0.10226263623524476,0.08814915116110277,0.1625692822011316,0.1102394928832452
3,12,0.10399644780190725,0.08948648068289862,0.1656601653705794,0.11204302350859152
4,16,0.10477985262580047,0.09020219768328186,0.16650215151865802,0.11274947985551223
5,20,0.10462825558964037,0.09007617086121951,0.1669923673321811,0.1128399992572226
6,24,0.10480684191184858,0.09015286199078508,0.1665435534257856,0.11269652854858249
7,28,0.10471252304822196,0.09016068992637959,0.16670934087967879,0.11280434942099846
8,32,0.10469533402824197,0.09025649082785098,0.16721308203563842,0.11310574036430723
9,36,0.10460165496765902,0.09042650702196654,0.1671144407956816,0.11321746413929089
10,40,0.10433490049794515,0.08999353254633283,0.16630651380898218,0.11260917246693368
11,44,0.10476442118892301,0.09028247349014999,0.16592836626933463,0.11262962850199125
12,48,0.10389850635293744,0.08976213494445923,0.16508528809222206,0.11210726626650315
13,Final,0.1036376974609351,0.08950830134135239,0.1645393560480071,0.11181324447699229
