,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.06651324117465754,0.04694576905405739,0.10397276421395045,0.06000010105369229
1,4,0.07138711121617942,0.050433339074319294,0.1120587686940455,0.06455961630001149
2,8,0.07145518109621525,0.050568754405583706,0.11180310827908939,0.06460911569608974
3,12,0.07171611966909966,0.05078237811661884,0.11205250044621559,0.06479629942722119
4,16,0.07154260559210646,0.05082364828790093,0.11114554597059315,0.06457260740608833
5,20,0.06775172967410699,0.048987490405760135,0.10518175328525944,0.06198303082453688
6,24,0.056055253983582194,0.04057044787282626,0.08446011365393485,0.050469327497446356
7,28,0.03341745234389198,0.02371173725727362,0.052563357192787985,0.030301014842036518
8,32,0.024270516550930384,0.017237889456603515,0.037762856373864534,0.021873313262636807
9,36,0.022886244339161928,0.016307418819336162,0.03507534308127707,0.020465258553274558
10,40,0.025762325217330843,0.019115215012516493,0.037210081469091064,0.023061073651855193
11,44,0.0029168153585410225,0.0019714433184250327,0.00487826215821191,0.0026652522923851607
12,48,0.0029255578047555756,0.0020499321002421375,0.0048155425850979604,0.002721493840271804
13,Final,0.00283517069952764,0.001999437662631669,0.004544270958125285,0.0026116438004862613
