,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.1401762107768812,0.08463282415363928,0.19355668398597373,0.09839700351393862
1,4,0.19250123198536837,0.11478686477123058,0.26558143783334015,0.1338517013574924
2,8,0.193190186194839,0.11586910761277419,0.26877167952611686,0.135528072022543
3,12,0.19139163849729318,0.1147740201256049,0.2664569961839854,0.13424295937809994
4,16,0.18833480996866112,0.1129504862739224,0.26256590245445116,0.13217676903124354
5,20,0.18247855556817544,0.10926163592814274,0.2545741459477805,0.12785625981810173
6,24,0.17584081753144248,0.10430736461364278,0.24429353447982663,0.12191023582722774
7,28,0.16617021537002882,0.09870674710668358,0.23206279001520272,0.11560768778981392
8,32,0.15498265007033873,0.09120776880770269,0.21604891827211006,0.10680179967173412
9,36,0.14389469926007153,0.08441458112331207,0.20094721985928896,0.09891644116731363
10,40,0.1292866537025813,0.07555560981759411,0.18108316164598234,0.08861805038772799
11,44,0.11264101066458003,0.06364926391920997,0.15769440301534957,0.07496665228314038
12,48,0.09530987113559039,0.05277795992875382,0.1354213178308176,0.06274500227542978
13,Final,0.09247401768854475,0.050959056954571834,0.13225793448274956,0.06082256981856598
