,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.1095694866559342,0.06786637134472878,0.15170066793071776,0.07908359639118588
1,4,0.1282180895425197,0.07857048899735444,0.18108457418908575,0.09270894764055584
2,8,0.15049485359921946,0.09166834009139306,0.20950667636282827,0.10729975425144751
3,12,0.16262117907053192,0.09870096209538795,0.22529326501379182,0.11533806103718663
4,16,0.17236938135692603,0.10500376670919333,0.23893221480605786,0.12262372039396797
5,20,0.17960685117886696,0.1099502096665867,0.24949234943700607,0.12842026178346883
6,24,0.18678878211220068,0.11301279066897393,0.25923162328912425,0.13219226637606266
7,28,0.19189294583999408,0.11615480740989012,0.26600497580121363,0.13574795658271102
8,32,0.19532086197307955,0.11821628292581357,0.27122207766205514,0.13820939885227504
9,36,0.1984235620761403,0.1198418938008993,0.275652030771035,0.14015446380005972
10,40,0.19999481925644788,0.1206545120381911,0.27881730259622733,0.14135277376238387
11,44,0.20095443138681965,0.1210915988752442,0.28089150189439466,0.14207377874216873
12,48,0.2015686275544043,0.12141470852522293,0.2819595862550365,0.14242882384450373
13,Final,0.20139701260002732,0.12155255627988558,0.2818525109576515,0.1425962716144128
