,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.1312697120280837,0.08121592846056001,0.1759165679966126,0.09292123938824133
1,4,0.1810480245049404,0.11059017347457258,0.24623110186357028,0.12793206543830213
2,8,0.19767725334631014,0.119962356431706,0.27142018970427445,0.13937744979564698
3,12,0.2024955352487136,0.12272683096693703,0.27840118920659396,0.14286941855811025
4,16,0.20516848938971233,0.1239337605720166,0.2828204626788917,0.1443731833263449
5,20,0.2064445166336439,0.12490977441568837,0.2861781213896277,0.1457943691162134
6,24,0.20603093596326125,0.12456235256733311,0.28708403632467205,0.14576200813565993
7,28,0.20691692640565496,0.12476242498512137,0.2867373081942932,0.1456476485789199
8,32,0.20508045938057665,0.12394223179633514,0.283994443450295,0.14455202084206134
9,36,0.20096435791439204,0.12156590368385765,0.27813542982568784,0.1416978119577059
10,40,0.19339632367962545,0.11663486071056042,0.2657605717269623,0.13541517773995695
11,44,0.18196481052373112,0.1091222679151908,0.24998540040245215,0.12667237967803313
12,48,0.17009130800476252,0.1014780578046261,0.23236750799994582,0.11750430382611836
13,Final,0.16744862685967055,0.09978856310600598,0.2292393529776012,0.11565590382439318
