,epoch,recall@20,ndcg@20,recall@40,ndcg@40
0,0,0.07768926906526728,0.06665603174019061,0.12692399034447507,0.08471571242237202
1,4,0.0882458068826619,0.07565795510642771,0.14285250899468174,0.09560166007933002
2,8,0.08620461478109093,0.07407616991196148,0.1394322270935736,0.09349632797028251
3,12,0.08484673053072647,0.07291903197866798,0.13758616414968705,0.09213119845419998
4,16,0.08382174936165297,0.07197833580044034,0.1357959465826158,0.09099145030022891
5,20,0.08326825101031449,0.07141782542742957,0.13449207732890348,0.09014577659215536
6,24,0.08224361312434884,0.07048041270973954,0.13286007113553608,0.08898024374844363
7,28,0.08115698533412068,0.06957563211802285,0.13159492201438294,0.08802466251134297
8,32,0.0804957274061359,0.06907763776140385,0.13067771341367512,0.08743944305850589
9,36,0.07963155561156189,0.0683473705814524,0.12937760004186524,0.08653998284328618
10,40,0.07865859848695185,0.06755395102938377,0.12813294411686063,0.08565320971266799
11,44,0.07853590854832854,0.06746892068020041,0.12761594137904447,0.08543359156844729
12,48,0.07796979425885514,0.06688669039769564,0.12674464886601405,0.08471211457469938
13,Final,0.07771570916317452,0.06666307764657012,0.12621005797535634,0.0844377715627007
